model_name,grain_col_1,grain_col_2,grain_col_3,grain_col_4
patients,patient_id,,,
patient_identity,golden_id,,,
providers,provider_id,,,
fct_provider_bonus,provider_id,bonus_year,,
int_attribution_point_in_time,identity_id,target_month,roster_payor,
tcm_visit,encounter_id,,,
fct_spend__patient_month,patient_id,service_month,payor,
vw_operating_review_appointments,appointment_id,,,
vw_operating_review_patients,patient_id,,,
vw_provider_capacity,APPOINTMENT_ID,,,
vw_physician_capacity,APPOINTMENT_ID,,,
stg_scheduling__slots,APPOINTMENT_ID,,,
int_validated_adt_events,encounter_id,,,
int_patient_tier_features,patient_id,,,
mart_tcm_visit,patient_id,encounter_id,,
mart_operating_review,mart_operating_review_id,,,
mart_medical_spending,mart_medical_spending_id,,
mart_membership,mart_membership_id,,,
mart_patient_attribution,mart_patient_attribution_id,,,
fct_payor__claims,claim_key,claim_line,release_date,
