model_name,unique_id,model_path,schema,materialization,resource_enabled,contract_enforced,column_count,tags,owner,servingdb_sync,child_count,parent_count,access,migration_status,target_canonical_model,compatibility_relation,deprecation_date,deprecation_ticket,wave,notes
_log_raf__prior_snapshot,model.healthcare_analytics._log_raf__prior_snapshot,models/healthcare/raf/score/cdc/_log_raf__prior_snapshot.sql,healthcare,table,True,False,2,"cdc,cms_hcc,event_log,raf,risk_adjustment,snapshot",,False,3,2,protected,active,,,,,,
appointment_types,model.healthcare_analytics.appointment_types,models/dimensions/appointment_types.sql,healthcare,incremental,True,True,19,"cube,dimension,mdm,BIPlatform",,False,8,1,protected,active,,,,,,
appointments,model.healthcare_analytics.appointments,models/facts/appointments.sql,healthcare,incremental,True,True,73,"appointments,cube,fact,scheduling,BIPlatform",,True,19,7,protected,active,,,,,,
attribution_history,model.healthcare_analytics.attribution_history,models/facts/attribution_history.sql,healthcare,incremental,True,True,35,"attribution,cube,fact,BIPlatform",,False,15,5,protected,active,,,,,,
attribution_movement,model.healthcare_analytics.attribution_movement,models/facts/attribution_movement.sql,healthcare,table,True,True,15,"attribution,cube,fact,payor,BIPlatform",,False,7,2,protected,active,,,,,,
attribution_operations,model.healthcare_analytics.attribution_operations,models/facts/attribution_operations.sql,healthcare,incremental,True,True,56,"attribution,cube,fact,hourly,BIPlatform",,False,6,4,protected,active,,,,,,
attribution_timeline,model.healthcare_analytics.attribution_timeline,models/facts/attribution_timeline.sql,healthcare,table,True,True,41,"attribution,cube,fact,hourly,BIPlatform",,False,5,3,protected,active,,,,,,
audit_bonus__encounter_detail,model.healthcare_analytics.audit_bonus__encounter_detail,models/provider_bonus/intermediate/audit_bonus__encounter_detail.sql,provider_bonus,view,True,True,26,"audit,intermediate,provider_bonus",,False,4,4,protected,active,,,,,,
audit_bonus__nps_survey_detail,model.healthcare_analytics.audit_bonus__nps_survey_detail,models/provider_bonus/intermediate/audit_bonus__nps_survey_detail.sql,provider_bonus,view,True,True,21,"audit,intermediate,provider_bonus",,False,4,2,protected,active,,,,,,
audit_bonus__quality_patient_detail,model.healthcare_analytics.audit_bonus__quality_patient_detail,models/provider_bonus/intermediate/audit_bonus__quality_patient_detail.sql,provider_bonus,view,True,True,15,"audit,intermediate,provider_bonus",,False,2,2,protected,active,,,,,,
base_athenahealth__clinicalresult,model.healthcare_analytics.base_athenahealth__clinicalresult,models/sources/athenahealth/base_athenahealth__clinicalresult.sql,staging,view,True,False,0,"athenahealth,base,clinicalresult,ehr",,False,2,1,protected,active,,,,,,
base_athenahealth__clinicalresultobservation,model.healthcare_analytics.base_athenahealth__clinicalresultobservation,models/sources/athenahealth/base_athenahealth__clinicalresultobservation.sql,staging,view,True,False,0,"athenahealth,base,clinicalresultobservation,ehr",,False,2,1,protected,active,,,,,,
base_athenahealth__document,model.healthcare_analytics.base_athenahealth__document,models/sources/athenahealth/base_athenahealth__document.sql,staging,view,True,False,0,"athenahealth,base,document,ehr",,False,2,1,protected,active,,,,,,
base_athenahealth__p4pmeasure,model.healthcare_analytics.base_athenahealth__p4pmeasure,models/sources/athenahealth/base_athenahealth__p4pmeasure.sql,staging,view,True,False,0,"athenahealth,base,ehr,p4pmeasure",,False,2,1,protected,active,,,,,,
base_athenahealth__p4presult,model.healthcare_analytics.base_athenahealth__p4presult,models/sources/athenahealth/base_athenahealth__p4presult.sql,staging,view,True,False,0,"athenahealth,base,ehr,p4presult",,False,2,1,protected,active,,,,,,
base_athenahealth__p4presultdata,model.healthcare_analytics.base_athenahealth__p4presultdata,models/sources/athenahealth/base_athenahealth__p4presultdata.sql,staging,view,True,False,0,"athenahealth,base,ehr,p4presultdata",,False,2,1,protected,active,,,,,,
base_athenahealth__qmresult,model.healthcare_analytics.base_athenahealth__qmresult,models/sources/athenahealth/base_athenahealth__qmresult.sql,staging,view,True,False,0,"athenahealth,base,ehr,qmresult",,False,2,1,protected,active,,,,,,
base_salesforce__appointment,model.healthcare_analytics.base_salesforce__appointment,models/sources/salesforce/base_salesforce__appointment.sql,staging,view,True,False,1,"appointment,base,crm,salesforce",,False,18,1,protected,active,,,,,,
