coefficient_key,coefficient_value,coefficient_type,segment,cms_label
ActAdj_DUR4_9,0.905,demographic,ActAdj,Actuarial Adjustment for the Functioning Graft New Enrollee Duration Since Transplant of 4-9 Months
ActAdj_DUR10PL,0.698,demographic,ActAdj,Actuarial Adjustment for the Functioning Graft New Enrollee Duration Since Transplant of 10 Months or More
DI_F0_34,0.644,demographic,DI,Female 0-34
DI_F35_44,0.630,demographic,DI,Female 35-44
DI_F45_54,0.564,demographic,DI,Female 45-54
DI_F55_59,0.570,demographic,DI,Female 55-59
DI_F60_64,0.569,demographic,DI,Female 60-64
DI_F65_69,0.630,demographic,DI,Female 65-69
DI_F70_74,0.624,demographic,DI,Female 70-74
DI_F75_79,0.617,demographic,DI,Female 75-79
DI_F80_84,0.661,demographic,DI,Female 80-84
DI_F85_89,0.629,demographic,DI,Female 85-89
DI_F90_94,0.629,demographic,DI,Female 90-94
DI_F95_GT,0.629,demographic,DI,Female 95+
DI_M0_34,0.616,demographic,DI,Male 0-34
DI_M35_44,0.604,demographic,DI,Male 35-44
DI_M45_54,0.551,demographic,DI,Male 45-54
DI_M55_59,0.557,demographic,DI,Male 55-59
DI_M60_64,0.569,demographic,DI,Male 60-64
DI_M65_69,0.577,demographic,DI,Male 65-69
DI_M70_74,0.551,demographic,DI,Male 70-74
DI_M75_79,0.601,demographic,DI,Male 75-79
DI_M80_84,0.635,demographic,DI,Male 80-84
DI_M85_89,0.635,demographic,DI,Male 85-89
DI_M90_94,0.635,demographic,DI,Male 90-94
DI_M95_GT,0.635,demographic,DI,Male 95+
DI_FBDual_Female_Aged,0.060,demographic,DI,Full Benefit Dual Female Aged
DI_FBDual_Female_NonAged,0.082,demographic,DI,Full Benefit Dual Female NonAged
DI_FBDual_Male_Aged,0.128,demographic,DI,Full Benefit Dual Male Aged
DI_FBDual_Male_NonAged,0.076,demographic,DI,Full Benefit Dual Male NonAged
DI_PBDual_Female_Aged,0.000,demographic,DI,Partial Benefit Dual Female Aged
DI_PBDual_Female_NonAged,0.000,demographic,DI,Partial Benefit Dual Female NonAged
DI_PBDual_Male_Aged,0.000,demographic,DI,Partial Benefit Dual Male Aged
DI_PBDual_Male_NonAged,0.000,demographic,DI,Partial Benefit Dual Male NonAged
DI_OriginallyDisabled_Female,0.024,demographic,DI,Originally Disabled Female
DI_OriginallyDisabled_Male,0.000,demographic,DI,Originally Disabled Male
DI_Originally_ESRD_Female,-0.024,demographic,DI,Originally ESRD Female
DI_Originally_ESRD_Male,0.017,demographic,DI,Originally ESRD Male
DI_LTI_Aged,0.020,demographic,DI,Institutional/Aged
DI_LTI_NonAged,0.098,interaction,DI,Institutional/NonAged
DI_HCC1,0.122,disease,DI,HIV/AIDS
DI_HCC2,0.087,disease,DI,Septicemia/Sepsis/Systemic Inflammatory Response Syndrome/Shock
DI_HCC6,0.076,disease,DI,Opportunistic Infections
DI_HCC8,0.353,disease,DI,Metastatic Cancer and Acute Leukemia
