hcc_code,excludes_hcc_code
HCC8,HCC9
HCC8,HCC10
HCC8,HCC11
HCC8,HCC12
HCC9,HCC10
HCC9,HCC11
HCC9,HCC12
HCC10,HCC11
HCC10,HCC12
HCC11,HCC12
HCC17,HCC18
HCC17,HCC19
HCC18,HCC19
HCC27,HCC28
HCC27,HCC29
HCC27,HCC80
HCC28,HCC29
HCC46,HCC48
HCC51,HCC52
HCC54,HCC55
HCC54,HCC56
HCC55,HCC56
HCC57,HCC58
HCC57,HCC59
HCC57,HCC60
HCC58,HCC59
HCC58,HCC60
HCC59,HCC60
HCC70,HCC71
HCC70,HCC72
HCC70,HCC103
HCC70,HCC104
HCC70,HCC169
HCC71,HCC72
HCC71,HCC104
HCC71,HCC169
HCC72,HCC169
HCC82,HCC83
HCC82,HCC84
HCC83,HCC84
HCC86,HCC87
HCC86,HCC88
HCC87,HCC88
HCC99,HCC100
HCC103,HCC104
HCC106,HCC107
HCC106,HCC108
HCC106,HCC161
HCC106,HCC189
HCC107,HCC108
HCC110,HCC111
HCC110,HCC112
HCC111,HCC112
HCC114,HCC115
HCC134,HCC135
HCC134,HCC136
HCC134,HCC137
HCC134,HCC138
HCC135,HCC136
HCC135,HCC137
HCC135,HCC138
HCC136,HCC137
HCC136,HCC138
HCC137,HCC138
HCC157,HCC158
HCC157,HCC159
HCC157,HCC161
HCC158,HCC159
HCC158,HCC161
HCC159,HCC161
HCC166,HCC80
HCC166,HCC167
