coefficient_key,coefficient_value,coefficient_type,cms_label
CNA_F65_69,0.330,demographic,Female 65-69
CNA_F70_74,0.395,demographic,Female 70-74
CNA_F75_79,0.465,demographic,Female 75-79
CNA_F80_84,0.524,demographic,Female 80-84
CNA_F85_89,0.624,demographic,Female 85-89
CNA_F90_94,0.737,demographic,Female 90-94
CNA_F95_GT,0.742,demographic,Female 95+
CNA_M65_69,0.332,demographic,Male 65-69
CNA_M70_74,0.396,demographic,Male 70-74
CNA_M75_79,0.502,demographic,Male 75-79
CNA_M80_84,0.571,demographic,Male 80-84
CNA_M85_89,0.664,demographic,Male 85-89
CNA_M90_94,0.800,demographic,Male 90-94
CNA_M95_GT,0.896,demographic,Male 95+
CNA_OriginallyDisabled_Female,0.228,demographic,Originally Disabled Female
CNA_OriginallyDisabled_Male,0.135,demographic,Originally Disabled Male
CNA_HCC1,0.301,disease,HIV/AIDS
CNA_HCC2,0.500,disease,Septicemia/Sepsis/Systemic Inflammatory Response Syndrome/Shock
CNA_HCC6,0.381,disease,Opportunistic Infections
CNA_HCC17,4.209,disease,Cancer Metastatic to Lung/Liver/Brain/and Other Organs; Acute Myeloid Leukemia Except Promyelocytic
CNA_HCC18,2.341,disease,Cancer Metastatic to Bone/Other and Unspecified Metastatic Cancer; Acute Leukemia Except Myeloid
CNA_HCC19,1.798,disease,Myelodysplastic Syndromes/Multiple Myeloma/and Other Cancers
CNA_HCC20,1.136,disease,Lung and Other Severe Cancers
CNA_HCC21,0.671,disease,Lymphoma and Other Cancers
CNA_HCC22,0.363,disease,Bladder/Colorectal/and Other Cancers
CNA_HCC23,0.186,disease,Prostate/Breast/and Other Cancers and Tumors
CNA_HCC35,0.949,disease,Pancreas Transplant Status
CNA_HCC36,0.166,disease,Diabetes with Severe Acute Complications
CNA_HCC37,0.166,disease,Diabetes with Chronic Complications
CNA_HCC38,0.166,disease,Diabetes with Glycemic/Unspecified/No Complications
CNA_HCC48,0.186,disease,Morbid Obesity
