enrollment_segment,age,sex,coefficient,detail_key,risk_score_base
CNA,65,M,0.332,CNA_M65_69,0.332
CNA,65,F,0.33,CNA_F65_69,0.33
CNA,70,M,0.396,CNA_M70_74,0.396
CNA,70,F,0.395,CNA_F70_74,0.395
CNA,75,M,0.502,CNA_M75_79,0.502
CNA,75,F,0.465,CNA_F75_79,0.465
CNA,80,M,0.571,CNA_M80_84,0.571
CNA,80,F,0.524,CNA_F80_84,0.524
CNA,85,M,0.664,CNA_M85_89,0.664
CNA,85,F,0.624,CNA_F85_89,0.624
CNA,90,M,0.8,CNA_M90_94,0.8
CNA,90,F,0.737,CNA_F90_94,0.737
CNA,95,M,0.896,CNA_M95_GT,0.896
CNA,95,F,0.742,CNA_F95_GT,0.742
CNA,95,M,0.896,CNA_M95_GT,0.896
CNA,95,F,0.742,CNA_F95_GT,0.742
CND,0,M,0.106,CND_M0_34,0.106
CND,0,F,0.238,CND_F0_34,0.238
CND,5,M,0.106,CND_M0_34,0.106
CND,5,F,0.238,CND_F0_34,0.238
CND,10,M,0.106,CND_M0_34,0.106
CND,10,F,0.238,CND_F0_34,0.238
CND,15,M,0.106,CND_M0_34,0.106
CND,15,F,0.238,CND_F0_34,0.238
CND,20,M,0.106,CND_M0_34,0.106
CND,20,F,0.238,CND_F0_34,0.238
CND,25,M,0.106,CND_M0_34,0.106
CND,25,F,0.238,CND_F0_34,0.238
CND,30,M,0.106,CND_M0_34,0.106
CND,30,F,0.238,CND_F0_34,0.238
CND,35,M,0.154,CND_M35_44,0.154
CND,35,F,0.288,CND_F35_44,0.288
CND,40,M,0.154,CND_M35_44,0.154
CND,40,F,0.288,CND_F35_44,0.288
CND,45,M,0.215,CND_M45_54,0.215
CND,45,F,0.34,CND_F45_54,0.34
CND,50,M,0.215,CND_M45_54,0.215
CND,50,F,0.34,CND_F45_54,0.34
CND,55,M,0.283,CND_M55_59,0.283
CND,55,F,0.385,CND_F55_59,0.385
CND,60,M,0.345,CND_M60_64,0.345
CND,60,F,0.436,CND_F60_64,0.436
CND,65,M,0.0,CND_OriginallyDisabled_Male,0.0
CND,65,F,0.0,CND_OriginallyDisabled_Female,0.0
CND,70,M,0.0,CND_OriginallyDisabled_Male,0.0
CND,70,F,0.0,CND_OriginallyDisabled_Female,0.0
CND,75,M,0.0,CND_OriginallyDisabled_Male,0.0
CND,75,F,0.0,CND_OriginallyDisabled_Female,0.0
CND,80,M,0.0,CND_OriginallyDisabled_Male,0.0
CND,80,F,0.0,CND_OriginallyDisabled_Female,0.0
CND,85,M,0.0,CND_OriginallyDisabled_Male,0.0
CND,85,F,0.0,CND_OriginallyDisabled_Female,0.0
CND,90,M,0.0,CND_OriginallyDisabled_Male,0.0
CND,90,F,0.0,CND_OriginallyDisabled_Female,0.0
CND,95,M,0.0,CND_OriginallyDisabled_Male,0.0
CND,95,F,0.0,CND_OriginallyDisabled_Female,0.0
CND,95,M,0.0,CND_OriginallyDisabled_Male,0.0
CND,95,F,0.0,CND_OriginallyDisabled_Female,0.0
CFA,65,M,0.531,CFA_M65_69,0.531
CFA,65,F,0.435,CFA_F65_69,0.435
CFA,70,M,0.626,CFA_M70_74,0.626
CFA,70,F,0.506,CFA_F70_74,0.506
CFA,75,M,0.714,CFA_M75_79,0.714
CFA,75,F,0.596,CFA_F75_79,0.596
CFA,80,M,0.789,CFA_M80_84,0.789
CFA,80,F,0.665,CFA_F80_84,0.665
CFA,85,M,0.907,CFA_M85_89,0.907
CFA,85,F,0.775,CFA_F85_89,0.775
CFA,90,M,0.993,CFA_M90_94,0.993
CFA,90,F,0.869,CFA_F90_94,0.869
CFA,95,M,1.058,CFA_M95_GT,1.058
CFA,95,F,0.877,CFA_F95_GT,0.877
CFA,95,M,1.058,CFA_M95_GT,1.058
CFA,95,F,0.877,CFA_F95_GT,0.877
CFD,0,M,0.191,CFD_M0_34,0.191
CFD,0,F,0.346,CFD_F0_34,0.346
CFD,5,M,0.191,CFD_M0_34,0.191
CFD,5,F,0.346,CFD_F0_34,0.346
CFD,10,M,0.191,CFD_M0_34,0.191
CFD,10,F,0.346,CFD_F0_34,0.346
CFD,15,M,0.191,CFD_M0_34,0.191
CFD,15,F,0.346,CFD_F0_34,0.346
CFD,20,M,0.191,CFD_M0_34,0.191
CFD,20,F,0.346,CFD_F0_34,0.346
CFD,25,M,0.191,CFD_M0_34,0.191
CFD,25,F,0.346,CFD_F0_34,0.346
CFD,30,M,0.191,CFD_M0_34,0.191
CFD,30,F,0.346,CFD_F0_34,0.346
CFD,35,M,0.204,CFD_M35_44,0.204
CFD,35,F,0.332,CFD_F35_44,0.332
CFD,40,M,0.204,CFD_M35_44,0.204
CFD,40,F,0.332,CFD_F35_44,0.332
CFD,45,M,0.293,CFD_M45_54,0.293
CFD,45,F,0.384,CFD_F45_54,0.384
CFD,50,M,0.293,CFD_M45_54,0.293
CFD,50,F,0.384,CFD_F45_54,0.384
CFD,55,M,0.41,CFD_M55_59,0.41
CFD,55,F,0.421,CFD_F55_59,0.421
CFD,60,M,0.504,CFD_M60_64,0.504
CFD,60,F,0.502,CFD_F60_64,0.502
CFD,65,M,0.0,CFD_OriginallyDisabled_Male,0.0
CFD,65,F,0.0,CFD_OriginallyDisabled_Female,0.0
CFD,70,M,0.0,CFD_OriginallyDisabled_Male,0.0
CFD,70,F,0.0,CFD_OriginallyDisabled_Female,0.0
CFD,75,M,0.0,CFD_OriginallyDisabled_Male,0.0
CFD,75,F,0.0,CFD_OriginallyDisabled_Female,0.0
CFD,80,M,0.0,CFD_OriginallyDisabled_Male,0.0
CFD,80,F,0.0,CFD_OriginallyDisabled_Female,0.0
CFD,85,M,0.0,CFD_OriginallyDisabled_Male,0.0
CFD,85,F,0.0,CFD_OriginallyDisabled_Female,0.0
CFD,90,M,0.0,CFD_OriginallyDisabled_Male,0.0
CFD,90,F,0.0,CFD_OriginallyDisabled_Female,0.0
CFD,95,M,0.0,CFD_OriginallyDisabled_Male,0.0
CFD,95,F,0.0,CFD_OriginallyDisabled_Female,0.0
CFD,95,M,0.0,CFD_OriginallyDisabled_Male,0.0
CFD,95,F,0.0,CFD_OriginallyDisabled_Female,0.0
CPA,65,M,0.375,CPA_M65_69,0.375
CPA,65,F,0.365,CPA_F65_69,0.365
CPA,70,M,0.417,CPA_M70_74,0.417
CPA,70,F,0.423,CPA_F70_74,0.423
CPA,75,M,0.498,CPA_M75_79,0.498
CPA,75,F,0.485,CPA_F75_79,0.485
