hcc_code,enrollment_segment,coefficient,detail_key,representative_icd
HCC1,CNA,0.301,CNA_HCC1,B20
HCC1,CND,0.213,CND_HCC1,B20
HCC1,CFA,0.397,CFA_HCC1,B20
HCC1,CFD,0.237,CFD_HCC1,B20
HCC1,CPA,0.196,CPA_HCC1,B20
HCC1,CPD,0.109,CPD_HCC1,B20
HCC1,INS,1.322,INS_HCC1,B20
HCC1,NE,0.0,NE_NMCAID_NORIGDIS_NE_HCC1,B20
HCC1,SNPNE,0.0,SNPNE_NMCAID_NORIGDIS_NE_HCC1,B20
HCC107,CNA,0.457,CNA_HCC107,D5700
HCC107,CND,1.449,CND_HCC107,D5700
HCC107,CFA,0.61,CFA_HCC107,D5700
HCC107,CFD,1.939,CFD_HCC107,D5700
HCC107,CPA,0.303,CPA_HCC107,D5700
HCC107,CPD,1.569,CPD_HCC107,D5700
HCC107,INS,0.692,INS_HCC107,D5700
HCC107,NE,0.0,NE_NMCAID_NORIGDIS_NE_HCC107,D5700
HCC107,SNPNE,0.0,SNPNE_NMCAID_NORIGDIS_NE_HCC107,D5700
HCC108,CNA,0.146,CNA_HCC108,D561
HCC108,CND,0.386,CND_HCC108,D561
HCC108,CFA,0.103,CFA_HCC108,D561
HCC108,CFD,0.408,CFD_HCC108,D561
HCC108,CPA,0.303,CPA_HCC108,D561
HCC108,CPD,0.416,CPD_HCC108,D561
HCC108,INS,0.098,INS_HCC108,D561
HCC108,NE,0.0,NE_NMCAID_NORIGDIS_NE_HCC108,D561
HCC108,SNPNE,0.0,SNPNE_NMCAID_NORIGDIS_NE_HCC108,D561
HCC109,CNA,1.144,CNA_HCC109,D5910
HCC109,CND,1.815,CND_HCC109,D5910
HCC109,CFA,1.048,CFA_HCC109,D5910
HCC109,CFD,1.541,CFD_HCC109,D5910
HCC109,CPA,1.009,CPA_HCC109,D5910
HCC109,CPD,1.514,CPD_HCC109,D5910
HCC109,INS,0.529,INS_HCC109,D5910
HCC109,NE,0.0,NE_NMCAID_NORIGDIS_NE_HCC109,D5910
HCC109,SNPNE,0.0,SNPNE_NMCAID_NORIGDIS_NE_HCC109,D5910
HCC111,CNA,4.639,CNA_HCC111,D66
HCC111,CND,30.706,CND_HCC111,D66
HCC111,CFA,15.539,CFA_HCC111,D66
HCC111,CFD,31.424,CFD_HCC111,D66
HCC111,CPA,11.201,CPA_HCC111,D66
HCC111,CPD,32.199,CPD_HCC111,D66
HCC111,INS,6.31,INS_HCC111,D66
HCC111,NE,0.0,NE_NMCAID_NORIGDIS_NE_HCC111,D66
HCC111,SNPNE,0.0,SNPNE_NMCAID_NORIGDIS_NE_HCC111,D66
HCC112,CNA,0.45,CNA_HCC112,D680
HCC112,CND,0.64,CND_HCC112,D680
HCC112,CFA,0.46,CFA_HCC112,D680
HCC112,CFD,0.634,CFD_HCC112,D680
HCC112,CPA,0.574,CPA_HCC112,D680
HCC112,CPD,0.708,CPD_HCC112,D680
HCC112,INS,0.516,INS_HCC112,D680
HCC112,NE,0.0,NE_NMCAID_NORIGDIS_NE_HCC112,D680
HCC112,SNPNE,0.0,SNPNE_NMCAID_NORIGDIS_NE_HCC112,D680
HCC114,CNA,2.262,CNA_HCC114,D810
HCC114,CND,2.598,CND_HCC114,D810
HCC114,CFA,2.016,CFA_HCC114,D810
HCC114,CFD,2.67,CFD_HCC114,D810
HCC114,CPA,2.137,CPA_HCC114,D810
HCC114,CPD,2.789,CPD_HCC114,D810
HCC114,INS,0.691,INS_HCC114,D810
HCC114,NE,0.0,NE_NMCAID_NORIGDIS_NE_HCC114,D810
HCC114,SNPNE,0.0,SNPNE_NMCAID_NORIGDIS_NE_HCC114,D810
HCC115,CNA,0.565,CNA_HCC115,D700
HCC115,CND,0.692,CND_HCC115,D700
HCC115,CFA,0.438,CFA_HCC115,D700
HCC115,CFD,0.498,CFD_HCC115,D700
HCC115,CPA,0.302,CPA_HCC115,D700
HCC115,CPD,0.613,CPD_HCC115,D700
HCC115,INS,0.691,INS_HCC115,D700
HCC115,NE,0.0,NE_NMCAID_NORIGDIS_NE_HCC115,D700
HCC115,SNPNE,0.0,SNPNE_NMCAID_NORIGDIS_NE_HCC115,D700
HCC125,CNA,0.341,CNA_HCC125,F01C0
HCC125,CND,0.296,CND_HCC125,F01C0
HCC125,CFA,0.438,CFA_HCC125,F01C0
HCC125,CFD,0.367,CFD_HCC125,F01C0
HCC125,CPA,0.401,CPA_HCC125,F01C0
HCC125,CPD,0.345,CPD_HCC125,F01C0
HCC125,INS,0.0,INS_HCC125,F01C0
HCC125,NE,0.0,NE_NMCAID_NORIGDIS_NE_HCC125,F01C0
HCC125,SNPNE,0.0,SNPNE_NMCAID_NORIGDIS_NE_HCC125,F01C0
HCC126,CNA,0.341,CNA_HCC126,F01B0
HCC126,CND,0.296,CND_HCC126,F01B0
HCC126,CFA,0.438,CFA_HCC126,F01B0
HCC126,CFD,0.367,CFD_HCC126,F01B0
HCC126,CPA,0.401,CPA_HCC126,F01B0
HCC126,CPD,0.345,CPD_HCC126,F01B0
HCC126,INS,0.0,INS_HCC126,F01B0
HCC126,NE,0.0,NE_NMCAID_NORIGDIS_NE_HCC126,F01B0
HCC126,SNPNE,0.0,SNPNE_NMCAID_NORIGDIS_NE_HCC126,F01B0
HCC127,CNA,0.341,CNA_HCC127,A8100
HCC127,CND,0.296,CND_HCC127,A8100
HCC127,CFA,0.438,CFA_HCC127,A8100
HCC127,CFD,0.367,CFD_HCC127,A8100
HCC127,CPA,0.401,CPA_HCC127,A8100
HCC127,CPD,0.345,CPD_HCC127,A8100
HCC127,INS,0.0,INS_HCC127,A8100
HCC127,NE,0.0,NE_NMCAID_NORIGDIS_NE_HCC127,A8100
HCC127,SNPNE,0.0,SNPNE_NMCAID_NORIGDIS_NE_HCC127,A8100
HCC135,CNA,0.424,CNA_HCC135,F11150
HCC135,CND,0.637,CND_HCC135,F11150
HCC135,CFA,0.702,CFA_HCC135,F11150
HCC135,CFD,1.181,CFD_HCC135,F11150
HCC135,CPA,0.522,CPA_HCC135,F11150
HCC135,CPD,0.922,CPD_HCC135,F11150
HCC135,INS,0.297,INS_HCC135,F11150
HCC135,NE,0.0,NE_NMCAID_NORIGDIS_NE_HCC135,F11150
HCC135,SNPNE,0.0,SNPNE_NMCAID_NORIGDIS_NE_HCC135,F11150
HCC136,CNA,0.424,CNA_HCC136,F10131
HCC136,CND,0.637,CND_HCC136,F10131
HCC136,CFA,0.502,CFA_HCC136,F10131
HCC136,CFD,1.181,CFD_HCC136,F10131
HCC136,CPA,0.522,CPA_HCC136,F10131
HCC136,CPD,0.922,CPD_HCC136,F10131
HCC136,INS,0.297,INS_HCC136,F10131
HCC136,NE,0.0,NE_NMCAID_NORIGDIS_NE_HCC136,F10131
HCC136,SNPNE,0.0,SNPNE_NMCAID_NORIGDIS_NE_HCC136,F10131
HCC137,CNA,0.424,CNA_HCC137,F11120
HCC137,CND,0.365,CND_HCC137,F11120
HCC137,CFA,0.502,CFA_HCC137,F11120
HCC137,CFD,0.471,CFD_HCC137,F11120
HCC137,CPA,0.394,CPA_HCC137,F11120
HCC137,CPD,0.348,CPD_HCC137,F11120
HCC137,INS,0.297,INS_HCC137,F11120
HCC137,NE,0.0,NE_NMCAID_NORIGDIS_NE_HCC137,F11120
HCC137,SNPNE,0.0,SNPNE_NMCAID_NORIGDIS_NE_HCC137,F11120
HCC138,CNA,0.423,CNA_HCC138,F1110
HCC138,CND,0.264,CND_HCC138,F1110
HCC138,CFA,0.502,CFA_HCC138,F1110
HCC138,CFD,0.384,CFD_HCC138,F1110
HCC138,CPA,0.355,CPA_HCC138,F1110
HCC138,CPD,0.348,CPD_HCC138,F1110
HCC138,INS,0.297,INS_HCC138,F1110
HCC138,NE,0.0,NE_NMCAID_NORIGDIS_NE_HCC138,F1110
HCC138,SNPNE,0.0,SNPNE_NMCAID_NORIGDIS_NE_HCC138,F1110
HCC139,CNA,0.242,CNA_HCC139,F10130
HCC139,CND,0.207,CND_HCC139,F10130
HCC139,CFA,0.478,CFA_HCC139,F10130
HCC139,CFD,0.25,CFD_HCC139,F10130
HCC139,CPA,0.308,CPA_HCC139,F10130
HCC139,CPD,0.159,CPD_HCC139,F10130
HCC139,INS,0.0,INS_HCC139,F10130
HCC139,NE,0.0,NE_NMCAID_NORIGDIS_NE_HCC139,F10130
HCC139,SNPNE,0.0,SNPNE_NMCAID_NORIGDIS_NE_HCC139,F10130
HCC151,CNA,0.511,CNA_HCC151,F200
HCC151,CND,0.38,CND_HCC151,F200
HCC151,CFA,0.591,CFA_HCC151,F200
HCC151,CFD,0.414,CFD_HCC151,F200
HCC151,CPA,0.501,CPA_HCC151,F200
HCC151,CPD,0.304,CPD_HCC151,F200
HCC151,INS,0.449,INS_HCC151,F200
HCC151,NE,0.0,NE_NMCAID_NORIGDIS_NE_HCC151,F200
HCC151,SNPNE,0.0,SNPNE_NMCAID_NORIGDIS_NE_HCC151,F200
HCC152,CNA,0.484,CNA_HCC152,F22
HCC152,CND,0.29,CND_HCC152,F22
HCC152,CFA,0.579,CFA_HCC152,F22
HCC152,CFD,0.255,CFD_HCC152,F22
HCC152,CPA,0.501,CPA_HCC152,F22
HCC152,CPD,0.247,CPD_HCC152,F22
HCC152,INS,0.208,INS_HCC152,F22
HCC152,NE,0.0,NE_NMCAID_NORIGDIS_NE_HCC152,F22
HCC152,SNPNE,0.0,SNPNE_NMCAID_NORIGDIS_NE_HCC152,F22
HCC153,CNA,0.396,CNA_HCC153,F21
HCC153,CND,0.29,CND_HCC153,F21
HCC153,CFA,0.42,CFA_HCC153,F21
HCC153,CFD,0.255,CFD_HCC153,F21
HCC153,CPA,0.464,CPA_HCC153,F21
HCC153,CPD,0.232,CPD_HCC153,F21
HCC153,INS,0.199,INS_HCC153,F21
HCC153,NE,0.0,NE_NMCAID_NORIGDIS_NE_HCC153,F21
HCC153,SNPNE,0.0,SNPNE_NMCAID_NORIGDIS_NE_HCC153,F21
HCC154,CNA,0.351,CNA_HCC154,F3010
HCC154,CND,0.166,CND_HCC154,F3010
HCC154,CFA,0.349,CFA_HCC154,F3010
HCC154,CFD,0.126,CFD_HCC154,F3010
HCC154,CPA,0.314,CPA_HCC154,F3010
HCC154,CPD,0.108,CPD_HCC154,F3010
HCC154,INS,0.199,INS_HCC154,F3010
HCC154,NE,0.0,NE_NMCAID_NORIGDIS_NE_HCC154,F3010
HCC154,SNPNE,0.0,SNPNE_NMCAID_NORIGDIS_NE_HCC154,F3010
HCC155,CNA,0.299,CNA_HCC155,F321
HCC155,CND,0.166,CND_HCC155,F321
HCC155,CFA,0.316,CFA_HCC155,F321
HCC155,CFD,0.126,CFD_HCC155,F321
HCC155,CPA,0.269,CPA_HCC155,F321
HCC155,CPD,0.108,CPD_HCC155,F321
HCC155,INS,0.199,INS_HCC155,F321
HCC155,NE,0.0,NE_NMCAID_NORIGDIS_NE_HCC155,F321
HCC155,SNPNE,0.0,SNPNE_NMCAID_NORIGDIS_NE_HCC155,F321
HCC17,CNA,4.209,CNA_HCC17,C771
HCC17,CND,3.995,CND_HCC17,C771
HCC17,CFA,3.896,CFA_HCC17,C771
HCC17,CFD,4.235,CFD_HCC17,C771
HCC17,CPA,3.946,CPA_HCC17,C771
HCC17,CPD,4.103,CPD_HCC17,C771
HCC17,INS,1.952,INS_HCC17,C771
HCC17,NE,0.0,NE_NMCAID_NORIGDIS_NE_HCC17,C771
HCC17,SNPNE,0.0,SNPNE_NMCAID_NORIGDIS_NE_HCC17,C771
HCC18,CNA,2.341,CNA_HCC18,C770
HCC18,CND,2.486,CND_HCC18,C770
HCC18,CFA,2.277,CFA_HCC18,C770
HCC18,CFD,2.537,CFD_HCC18,C770
HCC18,CPA,2.166,CPA_HCC18,C770
HCC18,CPD,2.403,CPD_HCC18,C770
HCC18,INS,1.11,INS_HCC18,C770
HCC18,NE,0.0,NE_NMCAID_NORIGDIS_NE_HCC18,C770
HCC18,SNPNE,0.0,SNPNE_NMCAID_NORIGDIS_NE_HCC18,C770
HCC180,CNA,1.125,CNA_HCC180,G8250
HCC180,CND,0.986,CND_HCC180,G8250
HCC180,CFA,1.068,CFA_HCC180,G8250
HCC180,CFD,1.095,CFD_HCC180,G8250
HCC180,CPA,1.311,CPA_HCC180,G8250
HCC180,CPD,1.399,CPD_HCC180,G8250
HCC180,INS,0.735,INS_HCC180,G8250
HCC180,NE,0.0,NE_NMCAID_NORIGDIS_NE_HCC180,G8250
HCC180,SNPNE,0.0,SNPNE_NMCAID_NORIGDIS_NE_HCC180,G8250
HCC181,CNA,0.942,CNA_HCC181,G8220
HCC181,CND,0.648,CND_HCC181,G8220
HCC181,CFA,0.859,CFA_HCC181,G8220
HCC181,CFD,0.832,CFD_HCC181,G8220
HCC181,CPA,0.883,CPA_HCC181,G8220
HCC181,CPD,0.852,CPD_HCC181,G8220
HCC181,INS,0.563,INS_HCC181,G8220
HCC181,NE,0.0,NE_NMCAID_NORIGDIS_NE_HCC181,G8220
HCC181,SNPNE,0.0,SNPNE_NMCAID_NORIGDIS_NE_HCC181,G8220
HCC182,CNA,0.478,CNA_HCC182,B0082
HCC182,CND,0.368,CND_HCC182,B0082
HCC182,CFA,0.402,CFA_HCC182,B0082
HCC182,CFD,0.308,CFD_HCC182,B0082
HCC182,CPA,0.401,CPA_HCC182,B0082
HCC182,CPD,0.316,CPD_HCC182,B0082
HCC182,INS,0.27,INS_HCC182,B0082
HCC182,NE,0.0,NE_NMCAID_NORIGDIS_NE_HCC182,B0082
HCC182,SNPNE,0.0,SNPNE_NMCAID_NORIGDIS_NE_HCC182,B0082
HCC19,CNA,1.798,CNA_HCC19,C450
HCC19,CND,1.989,CND_HCC19,C450
HCC19,CFA,1.563,CFA_HCC19,C450
HCC19,CFD,1.661,CFD_HCC19,C450
HCC19,CPA,1.52,CPA_HCC19,C450
HCC19,CPD,1.554,CPD_HCC19,C450
HCC19,INS,0.957,INS_HCC19,C450
HCC19,NE,0.0,NE_NMCAID_NORIGDIS_NE_HCC19,C450
HCC19,SNPNE,0.0,SNPNE_NMCAID_NORIGDIS_NE_HCC19,C450
HCC190,CNA,1.175,CNA_HCC190,G120
HCC190,CND,1.792,CND_HCC190,G120
HCC190,CFA,1.427,CFA_HCC190,G120
HCC190,CFD,3.642,CFD_HCC190,G120
HCC190,CPA,0.64,CPA_HCC190,G120
HCC190,CPD,1.243,CPD_HCC190,G120
HCC190,INS,0.628,INS_HCC190,G120
HCC190,NE,0.0,NE_NMCAID_NORIGDIS_NE_HCC190,G120
HCC190,SNPNE,0.0,SNPNE_NMCAID_NORIGDIS_NE_HCC190,G120
HCC191,CNA,0.855,CNA_HCC191,G800
HCC191,CND,0.743,CND_HCC191,G800
HCC191,CFA,0.393,CFA_HCC191,G800
HCC191,CFD,0.466,CFD_HCC191,G800
HCC191,CPA,0.84,CPA_HCC191,G800
HCC191,CPD,0.104,CPD_HCC191,G800
HCC191,INS,0.0,INS_HCC191,G800
HCC191,NE,0.0,NE_NMCAID_NORIGDIS_NE_HCC191,G800
HCC191,SNPNE,0.0,SNPNE_NMCAID_NORIGDIS_NE_HCC191,G800
HCC192,CNA,0.314,CNA_HCC192,G801
HCC192,CND,0.129,CND_HCC192,G801
HCC192,CFA,0.0,CFA_HCC192,G801
HCC192,CFD,0.067,CFD_HCC192,G801
HCC192,CPA,0.22,CPA_HCC192,G801
HCC192,CPD,0.104,CPD_HCC192,G801
HCC192,INS,0.0,INS_HCC192,G801
HCC192,NE,0.0,NE_NMCAID_NORIGDIS_NE_HCC192,G801
HCC192,SNPNE,0.0,SNPNE_NMCAID_NORIGDIS_NE_HCC192,G801
HCC193,CNA,1.692,CNA_HCC193,G6181
HCC193,CND,1.427,CND_HCC193,G6181
HCC193,CFA,0.957,CFA_HCC193,G6181
HCC193,CFD,0.939,CFD_HCC193,G6181
HCC193,CPA,1.149,CPA_HCC193,G6181
HCC193,CPD,0.85,CPD_HCC193,G6181
HCC193,INS,0.913,INS_HCC193,G6181
HCC193,NE,0.0,NE_NMCAID_NORIGDIS_NE_HCC193,G6181
HCC193,SNPNE,0.0,SNPNE_NMCAID_NORIGDIS_NE_HCC193,G6181
HCC195,CNA,2.909,CNA_HCC195,G7001
HCC195,CND,3.633,CND_HCC195,G7001
HCC195,CFA,2.153,CFA_HCC195,G7001
HCC195,CFD,3.323,CFD_HCC195,G7001
HCC195,CPA,2.69,CPA_HCC195,G7001
HCC195,CPD,1.779,CPD_HCC195,G7001
HCC195,INS,1.837,INS_HCC195,G7001
HCC195,NE,0.0,NE_NMCAID_NORIGDIS_NE_HCC195,G7001
HCC195,SNPNE,0.0,SNPNE_NMCAID_NORIGDIS_NE_HCC195,G7001
HCC196,CNA,0.516,CNA_HCC196,G7000
HCC196,CND,0.642,CND_HCC196,G7000
HCC196,CFA,0.503,CFA_HCC196,G7000
HCC196,CFD,0.507,CFD_HCC196,G7000
HCC196,CPA,0.427,CPA_HCC196,G7000
HCC196,CPD,0.248,CPD_HCC196,G7000
HCC196,INS,0.486,INS_HCC196,G7000
HCC196,NE,0.0,NE_NMCAID_NORIGDIS_NE_HCC196,G7000
HCC196,SNPNE,0.0,SNPNE_NMCAID_NORIGDIS_NE_HCC196,G7000
HCC197,CNA,0.426,CNA_HCC197,G7100
HCC197,CND,0.632,CND_HCC197,G7100
HCC197,CFA,0.369,CFA_HCC197,G7100
HCC197,CFD,0.681,CFD_HCC197,G7100
HCC197,CPA,0.162,CPA_HCC197,G7100
HCC197,CPD,0.145,CPD_HCC197,G7100
HCC197,INS,0.292,INS_HCC197,G7100
HCC197,NE,0.0,NE_NMCAID_NORIGDIS_NE_HCC197,G7100
HCC197,SNPNE,0.0,SNPNE_NMCAID_NORIGDIS_NE_HCC197,G7100
HCC198,CNA,0.647,CNA_HCC198,G35
HCC198,CND,0.908,CND_HCC198,G35
HCC198,CFA,0.791,CFA_HCC198,G35
HCC198,CFD,1.143,CFD_HCC198,G35
HCC198,CPA,0.569,CPA_HCC198,G35
HCC198,CPD,0.77,CPD_HCC198,G35
HCC198,INS,0.226,INS_HCC198,G35
HCC198,NE,0.0,NE_NMCAID_NORIGDIS_NE_HCC198,G35
HCC198,SNPNE,0.0,SNPNE_NMCAID_NORIGDIS_NE_HCC198,G35
HCC199,CNA,0.615,CNA_HCC199,G20
HCC199,CND,0.517,CND_HCC199,G20
HCC199,CFA,0.634,CFA_HCC199,G20
HCC199,CFD,0.504,CFD_HCC199,G20
HCC199,CPA,0.474,CPA_HCC199,G20
HCC199,CPD,0.354,CPD_HCC199,G20
HCC199,INS,0.219,INS_HCC199,G20
HCC199,NE,0.0,NE_NMCAID_NORIGDIS_NE_HCC199,G20
HCC199,SNPNE,0.0,SNPNE_NMCAID_NORIGDIS_NE_HCC199,G20
HCC2,CNA,0.5,CNA_HCC2,A021
HCC2,CND,0.598,CND_HCC2,A021
HCC2,CFA,0.649,CFA_HCC2,A021
HCC2,CFD,0.78,CFD_HCC2,A021
HCC2,CPA,0.447,CPA_HCC2,A021
HCC2,CPD,0.591,CPD_HCC2,A021
HCC2,INS,0.605,INS_HCC2,A021
HCC2,NE,0.0,NE_NMCAID_NORIGDIS_NE_HCC2,A021
HCC2,SNPNE,0.0,SNPNE_NMCAID_NORIGDIS_NE_HCC2,A021
HCC20,CNA,1.136,CNA_HCC20,C153
HCC20,CND,0.978,CND_HCC20,C153
HCC20,CFA,1.166,CFA_HCC20,C153
HCC20,CFD,1.173,CFD_HCC20,C153
HCC20,CPA,1.214,CPA_HCC20,C153
HCC20,CPD,1.067,CPD_HCC20,C153
HCC20,INS,0.672,INS_HCC20,C153
HCC20,NE,0.0,NE_NMCAID_NORIGDIS_NE_HCC20,C153
HCC20,SNPNE,0.0,SNPNE_NMCAID_NORIGDIS_NE_HCC20,C153
HCC200,CNA,0.279,CNA_HCC200,G10
HCC200,CND,0.208,CND_HCC200,G10
HCC200,CFA,0.165,CFA_HCC200,G10
HCC200,CFD,0.281,CFD_HCC200,G10
HCC200,CPA,0.05,CPA_HCC200,G10
HCC200,CPD,0.428,CPD_HCC200,G10
HCC200,INS,0.0,INS_HCC200,G10
HCC200,NE,0.0,NE_NMCAID_NORIGDIS_NE_HCC200,G10
