hcc_code,excludes_hcc_code
HCC17,HCC18
HCC17,HCC19
HCC17,HCC20
HCC17,HCC21
HCC17,HCC22
HCC17,HCC23
HCC18,HCC19
HCC18,HCC20
HCC18,HCC21
HCC18,HCC22
HCC18,HCC23
HCC19,HCC20
HCC19,HCC21
HCC19,HCC22
HCC19,HCC23
HCC20,HCC21
HCC20,HCC22
HCC20,HCC23
HCC21,HCC22
HCC21,HCC23
HCC22,HCC23
HCC35,HCC36
HCC35,HCC37
HCC35,HCC38
HCC36,HCC37
HCC36,HCC38
HCC37,HCC38
HCC62,HCC63
HCC62,HCC64
HCC62,HCC65
HCC62,HCC68
HCC63,HCC64
HCC63,HCC65
HCC63,HCC68
HCC63,HCC202
HCC64,HCC65
HCC64,HCC68
HCC77,HCC78
HCC77,HCC80
HCC77,HCC81
HCC80,HCC81
HCC93,HCC94
HCC107,HCC108
HCC111,HCC112
HCC114,HCC115
HCC125,HCC126
HCC125,HCC127
HCC126,HCC127
HCC135,HCC136
HCC135,HCC137
HCC135,HCC138
HCC135,HCC139
HCC136,HCC137
HCC136,HCC138
HCC136,HCC139
HCC137,HCC138
HCC137,HCC139
HCC138,HCC139
HCC151,HCC152
HCC151,HCC153
HCC151,HCC154
HCC151,HCC155
HCC152,HCC153
HCC152,HCC154
HCC152,HCC155
HCC153,HCC154
HCC153,HCC155
HCC154,HCC155
HCC180,HCC181
HCC180,HCC182
HCC180,HCC253
HCC180,HCC254
HCC181,HCC182
HCC181,HCC254
HCC191,HCC180
HCC191,HCC181
HCC191,HCC182
HCC191,HCC192
HCC191,HCC253
HCC191,HCC254
HCC192,HCC180
HCC192,HCC181
HCC192,HCC182
HCC192,HCC253
HCC192,HCC254
HCC195,HCC196
HCC211,HCC212
HCC211,HCC213
HCC212,HCC213
HCC221,HCC222
HCC221,HCC223
HCC221,HCC224
HCC221,HCC225
HCC221,HCC226
HCC221,HCC227
HCC222,HCC223
HCC222,HCC224
HCC222,HCC225
HCC222,HCC226
HCC222,HCC227
HCC223,HCC224
HCC223,HCC225
HCC223,HCC226
HCC223,HCC227
HCC224,HCC225
HCC224,HCC226
HCC224,HCC227
HCC225,HCC226
HCC225,HCC227
HCC226,HCC227
HCC228,HCC229
HCC248,HCC249
HCC253,HCC254
HCC263,HCC264
HCC263,HCC383
HCC263,HCC409
HCC276,HCC277
HCC276,HCC278
HCC276,HCC279
HCC276,HCC280
HCC277,HCC278
HCC277,HCC279
HCC277,HCC280
HCC278,HCC279
HCC278,HCC280
HCC279,HCC280
HCC282,HCC283
HCC326,HCC327
HCC326,HCC328
HCC326,HCC329
HCC327,HCC328
HCC327,HCC329
HCC328,HCC329
HCC379,HCC380
HCC379,HCC381
HCC379,HCC382
HCC379,HCC383
HCC380,HCC381
HCC380,HCC382
HCC380,HCC383
HCC381,HCC382
HCC381,HCC383
HCC382,HCC383
HCC397,HCC202
HCC397,HCC398
HCC397,HCC399
HCC398,HCC202
HCC398,HCC399
HCC405,HCC409
