hcc_code,enrollment_segment,coefficient,detail_key,cms_label,source
HCC36,CNA,0.155,CNA_HCC36,Diabetes with Severe Acute Complications,RAF FACTORS 2027 (CMS V28.1 recalibration)
HCC36,CND,0.183,CND_HCC36,Diabetes with Severe Acute Complications,RAF FACTORS 2027 (CMS V28.1 recalibration)
HCC36,CFA,0.211,CFA_HCC36,Diabetes with Severe Acute Complications,RAF FACTORS 2027 (CMS V28.1 recalibration)
HCC36,CFD,0.213,CFD_HCC36,Diabetes with Severe Acute Complications,RAF FACTORS 2027 (CMS V28.1 recalibration)
HCC36,CPA,0.173,CPA_HCC36,Diabetes with Severe Acute Complications,RAF FACTORS 2027 (CMS V28.1 recalibration)
HCC36,CPD,0.172,CPD_HCC36,Diabetes with Severe Acute Complications,RAF FACTORS 2027 (CMS V28.1 recalibration)
HCC37,CNA,0.155,CNA_HCC37,Diabetes with Chronic Complications,RAF FACTORS 2027 (CMS V28.1 recalibration)
HCC37,CND,0.183,CND_HCC37,Diabetes with Chronic Complications,RAF FACTORS 2027 (CMS V28.1 recalibration)
HCC37,CFA,0.211,CFA_HCC37,Diabetes with Chronic Complications,RAF FACTORS 2027 (CMS V28.1 recalibration)
HCC37,CFD,0.213,CFD_HCC37,Diabetes with Chronic Complications,RAF FACTORS 2027 (CMS V28.1 recalibration)
HCC37,CPA,0.173,CPA_HCC37,Diabetes with Chronic Complications,RAF FACTORS 2027 (CMS V28.1 recalibration)
HCC37,CPD,0.172,CPD_HCC37,Diabetes with Chronic Complications,RAF FACTORS 2027 (CMS V28.1 recalibration)
HCC38,CNA,0.155,CNA_HCC38,"Diabetes with Glycemic, Unspecified, or No Complications",RAF FACTORS 2027 (CMS V28.1 recalibration)
HCC38,CND,0.183,CND_HCC38,"Diabetes with Glycemic, Unspecified, or No Complications",RAF FACTORS 2027 (CMS V28.1 recalibration)
HCC38,CFA,0.211,CFA_HCC38,"Diabetes with Glycemic, Unspecified, or No Complications",RAF FACTORS 2027 (CMS V28.1 recalibration)
HCC38,CFD,0.213,CFD_HCC38,"Diabetes with Glycemic, Unspecified, or No Complications",RAF FACTORS 2027 (CMS V28.1 recalibration)
HCC38,CPA,0.173,CPA_HCC38,"Diabetes with Glycemic, Unspecified, or No Complications",RAF FACTORS 2027 (CMS V28.1 recalibration)
HCC38,CPD,0.172,CPD_HCC38,"Diabetes with Glycemic, Unspecified, or No Complications",RAF FACTORS 2027 (CMS V28.1 recalibration)
