metric_name,dimension,label
acceptance_rate,department,Department
acceptance_rate,documentation_strength,Documentation Strength
acceptance_rate,hcc_code,HCC Code
acceptance_rate,insurance_group,Insurance Group
acceptance_rate,market,Market
acceptance_rate,provider_name,Provider
acceptance_rate,suggestion_status,Status
accepted_count,department,Department
accepted_count,documentation_strength,Documentation Strength
accepted_count,hcc_code,HCC Code
accepted_count,insurance_group,Insurance Group
accepted_count,market,Market
accepted_count,provider_name,Provider
accepted_count,suggestion_status,Status
accepted_hcc_value,department,Department
accepted_hcc_value,documentation_strength,Documentation Strength
accepted_hcc_value,hcc_code,HCC Code
accepted_hcc_value,insurance_group,Insurance Group
accepted_hcc_value,market,Market
accepted_hcc_value,provider_name,Provider
accepted_hcc_value,suggestion_status,Status
actionable_suggestions,department,Department
actionable_suggestions,documentation_strength,Documentation Strength
actionable_suggestions,hcc_code,HCC Code
actionable_suggestions,insurance_group,Insurance Group
actionable_suggestions,market,Market
actionable_suggestions,provider_name,Provider
actionable_suggestions,suggestion_status,Status
activation_rate,account_status,Account Status
activation_rate,clinic,Clinic
activation_rate,enrollment_status,Enrollment Status
activation_rate,membership_membership_status,Membership Status
activation_rate,lead_source,Lead Source
activation_rate,member_category,Member Category
activation_rate,member_journey_stage,Member Journey Stage
activation_rate,member_type,Member Type
activation_rate,membership_attribution,Membership Attribution
activation_rate,patient_status,Patient Status
activation_rate,payment_status,Payment Status
activation_rate,primary_payor,Primary Payor
activation_rate,risk_tier,Risk Tier
activation_rate,utm_campaign,UTM Campaign
activation_rate,utm_medium,UTM Medium
activation_rate,utm_source,UTM Source
active_member_count,account_status,Account Status
active_member_count,clinic,Clinic
active_member_count,enrollment_status,Enrollment Status
active_member_count,membership_membership_status,Membership Status
active_member_count,lead_source,Lead Source
active_member_count,member_category,Member Category
active_member_count,member_journey_stage,Member Journey Stage
active_member_count,member_type,Member Type
active_member_count,membership_attribution,Membership Attribution
active_member_count,patient_status,Patient Status
active_member_count,payment_status,Payment Status
active_member_count,primary_payor,Primary Payor
active_member_count,risk_tier,Risk Tier
active_member_count,utm_campaign,UTM Campaign
active_member_count,utm_medium,UTM Medium
active_member_count,utm_source,UTM Source
active_members,account_status,Account Status
active_members,clinic,Clinic
active_members,enrollment_status,Enrollment Status
active_members,membership_membership_status,Membership Status
active_members,lead_source,Lead Source
active_members,member_category,Member Category
active_members,member_journey_stage,Member Journey Stage
active_members,member_type,Member Type
active_members,membership_attribution,Membership Attribution
active_members,patient_status,Patient Status
active_members,payment_status,Payment Status
active_members,primary_payor,Primary Payor
active_members,risk_tier,Risk Tier
active_members,utm_campaign,UTM Campaign
active_members,utm_medium,UTM Medium
active_members,utm_source,UTM Source
active_members_raw,account_status,Account Status
active_members_raw,clinic,Clinic
active_members_raw,enrollment_status,Enrollment Status
active_members_raw,membership_membership_status,Membership Status
active_members_raw,lead_source,Lead Source
active_members_raw,member_category,Member Category
active_members_raw,member_journey_stage,Member Journey Stage
active_members_raw,member_type,Member Type
active_members_raw,membership_attribution,Membership Attribution
active_members_raw,patient_status,Patient Status
active_members_raw,payment_status,Payment Status
active_members_raw,primary_payor,Primary Payor
active_members_raw,risk_tier,Risk Tier
active_members_raw,utm_campaign,UTM Campaign
active_members_raw,utm_medium,UTM Medium
active_members_raw,utm_source,UTM Source
active_patient_count,clinic,Clinic
active_patient_count,is_active_member,Is Active Member
active_patient_count,is_attributed,Attributed?
active_patient_count,is_grandmothered_member,Is Grandmothered Member
active_patient_count,is_membership_patient,Membership Patient
active_patient_count,is_paying_member,Is Paying Member
active_patient_count,member_category,Member Category
active_patient_count,membership_enrollment,Membership Enrollment
active_patient_count,membership_plan_type,Plan Type
active_patient_count,patient_status,Patient Status
active_patient_count,payment_status,Payment Status
active_patient_count,primary_insurance,Primary Insurance
active_patient_count,primary_payor,Primary Payor
active_patient_count,risk_tier,Risk Tier
active_patients,attribution_status,Attribution Status
active_patients,clinic,Clinic
active_patients,is_active_patient,Active Patient?
active_patients,membership_enrollment,Membership Enrollment
active_patients,patient_status,Patient Status
active_patients,payor_category,Payor Category
active_patients,primary_payor,Primary Payor
active_patients,provider_id,Primary Provider ID
active_patients,provider_name,Primary Provider
active_patients,risk_tier,Risk Tier
admitted_not_discharged,adt_closed_reason,ADT Closed Reason
admitted_not_discharged,adt_disposition,ADT Disposition
admitted_not_discharged,case_status,Case Status
admitted_not_discharged,clinic,Clinic
admitted_not_discharged,exclusion_reason,Exclusion Reason
admitted_not_discharged,hospital,Hospital
admitted_not_discharged,is_excluded,Excluded?
analytics_awv_completed_ytd,analytics_awv_ytd_status,AWV YTD Status
analytics_awv_completed_ytd,attributed_payor,Attributed Payor
analytics_awv_completed_ytd,attribution_status,Attribution Status
analytics_awv_completed_ytd,awv_eligibility_source,AWV Eligibility Source
analytics_awv_completed_ytd,clinic,Clinic
analytics_awv_completed_ytd,is_active_patient,Active Patient?
analytics_awv_completed_ytd,is_analytics_awv_eligible,AWV Eligible?
analytics_awv_completed_ytd,medicare_category,Medicare Category
analytics_awv_completed_ytd,primary_payor,Primary Payor
analytics_awv_completed_ytd,primary_product_type,Primary Product Type
analytics_awv_completed_ytd,provider_id,Primary Provider ID
analytics_awv_completed_ytd,provider_name,Primary Provider
analytics_awv_completed_ytd,sf_mddo_status,SF MDDO Status
analytics_awv_eligible,analytics_awv_ytd_status,AWV YTD Status
analytics_awv_eligible,attributed_payor,Attributed Payor
analytics_awv_eligible,attribution_status,Attribution Status
analytics_awv_eligible,awv_eligibility_source,AWV Eligibility Source
analytics_awv_eligible,clinic,Clinic
analytics_awv_eligible,is_active_patient,Active Patient?
analytics_awv_eligible,is_analytics_awv_eligible,AWV Eligible?
analytics_awv_eligible,medicare_category,Medicare Category
analytics_awv_eligible,primary_payor,Primary Payor
analytics_awv_eligible,primary_product_type,Primary Product Type
analytics_awv_eligible,provider_id,Primary Provider ID
analytics_awv_eligible,provider_name,Primary Provider
analytics_awv_eligible,sf_mddo_status,SF MDDO Status
analytics_awv_gap,analytics_awv_ytd_status,AWV YTD Status
analytics_awv_gap,attributed_payor,Attributed Payor
analytics_awv_gap,attribution_status,Attribution Status
analytics_awv_gap,awv_eligibility_source,AWV Eligibility Source
analytics_awv_gap,clinic,Clinic
analytics_awv_gap,is_active_patient,Active Patient?
analytics_awv_gap,is_analytics_awv_eligible,AWV Eligible?
analytics_awv_gap,medicare_category,Medicare Category
analytics_awv_gap,primary_payor,Primary Payor
analytics_awv_gap,primary_product_type,Primary Product Type
analytics_awv_gap,provider_id,Primary Provider ID
analytics_awv_gap,provider_name,Primary Provider
analytics_awv_gap,sf_mddo_status,SF MDDO Status
analytics_awv_scheduled,analytics_awv_ytd_status,AWV YTD Status
analytics_awv_scheduled,attributed_payor,Attributed Payor
analytics_awv_scheduled,attribution_status,Attribution Status
analytics_awv_scheduled,awv_eligibility_source,AWV Eligibility Source
