model_name,grain_col_1,grain_col_2,grain_col_3,grain_col_4
mart_appointments,mart_appointments_id,,,
mart_attribution_detail,mart_attribution_detail_id,,,
mart_attribution_operations,mart_attribution_operations_id,,,
mart_attribution_timeline,mart_attribution_timeline_id,,,
mart_awv_mini_cog,mart_awv_mini_cog_id,,,
mart_bcr,mart_bcr_id,,,
mart_bcr_cpt,mart_bcr_cpt_id,,,
mart_bcr_detail,mart_bcr_detail_id,,,
mart_behavioral_health,mart_behavioral_health_id,,,
mart_bh_scheduling_capacity,mart_bh_scheduling_capacity_id,,,
mart_bh_summary_filter_values_bh_provider,value,,,
mart_bh_summary_filter_values_clinic,value,,,
mart_cadence_scheduling,mart_cadence_scheduling_id,,,
mart_empi_golden_person,golden_id,,,
mart_empi_identity_map,identity_map_id,,,
mart_eov_cadence,mart_eov_cadence_id,,,
mart_hcc_assessment,mart_hcc_assessment_id,,,
mart_hcc_coder_contribution,mart_hcc_coder_contribution_id,,,
mart_hcc_provider_contribution,mart_hcc_provider_contribution_id,,,
mart_heartwise_zio_patch,mart_heartwise_zio_patch_id,,,
mart_imaging,mart_imaging_id,,,
mart_medical_spending,mart_medical_spending_id,,,
mart_medical_spending_by_provider,mart_medical_spending_by_provider_id,,,
mart_medical_spending_by_specialty,mart_medical_spending_by_specialty_id,,,
mart_medical_spending_detail,mart_medical_spending_detail_id,,,
mart_medical_spending_filter_values_payor,value,,,
mart_medical_spending_filter_values_provider_specialty,value,,,
mart_medical_spending_filter_values_service_category,value,,,
mart_medical_spending_filter_values_spend_bucket,value,,,
mart_membership,mart_membership_id,,,
mart_membership_kpis_monthly,mart_membership_kpis_monthly_id,,,
mart_membership_lead_attribution,membership_lead_attribution_id,,,
mart_monthly_leakage_cohort,mart_monthly_leakage_cohort_id,,,
mart_no_next_validation,mart_no_next_validation_id,,,
mart_operating_review,mart_operating_review_id,,,
mart_operating_review_worklist,patient_id,,,
mart_patient_attribution,mart_patient_attribution_id,,,
mart_patient_experience,mart_patient_experience_id,,,
mart_patient_outreach,mart_patient_outreach_id,,,
mart_patients,mart_patients_id,,,
mart_payor_unmatched_members,mart_payor_unmatched_members_id,,,
mart_payor_unmatched_summary,mart_payor_unmatched_summary_id,,,
mart_pharmacy_spend,mart_pharmacy_spend_id,,,
mart_population_history,mart_population_history_id,,,
mart_provider_bonus,mart_provider_bonus_id,,,
mart_provider_bonus_detail,mart_provider_bonus_detail_id,,,
mart_provider_departure_tracker,mart_provider_departure_tracker_id,,,
mart_raf_member_revenue,mart_raf_member_revenue_id,,,
mart_raf_patient_score,mart_raf_patient_score_id,,,
mart_raf_revenue_at_risk,mart_raf_revenue_at_risk_id,,,
mart_scheduling_analytics,mart_scheduling_analytics_id,,,
mart_scheduling_daily_capacity,mart_scheduling_daily_capacity_id,,,
mart_scheduling_ma_staffing,mart_scheduling_ma_staffing_id,,,
mart_scheduling_provider_archetypes,mart_scheduling_provider_archetypes_id,,,
mart_tcm_visit,mart_tcm_visit_id,,,
mart_uhc_diagnosis_by_company,mart_uhc_diagnosis_by_company_id,,,
mart_uhc_settlement,uhc_settlement_id,,,
mart_visit_type_cancellation_outcome,mart_visit_type_cancellation_outcome_id,,,
mart_volume_attribution_details_by_payor,volume_attribution_details_by_payor_id,,,
mart_volume_attribution_history_detail,volume_attribution_history_detail_id,,,
mart_voluntary_attribution_operational_review,mart_voluntary_attribution_operational_review_id,,,
mart_hcc_missing_opportunity,mart_hcc_missing_opportunity_id,,,
mart_suspect_recapture,mart_suspect_recapture_id,,,
