code,code_type,exclusion_measure,value_set,evidence_class
19180,CPT,BCSScrExcl,Unilateral Mastectomy,active
19200,CPT,BCSScrExcl,Unilateral Mastectomy,active
19220,CPT,BCSScrExcl,Unilateral Mastectomy,active
19240,CPT,BCSScrExcl,Unilateral Mastectomy,active
19303,CPT,BCSScrExcl,Unilateral Mastectomy,active
19304,CPT,BCSScrExcl,Unilateral Mastectomy,active
19305,CPT,BCSScrExcl,Unilateral Mastectomy,active
19306,CPT,BCSScrExcl,Unilateral Mastectomy,active
19307,CPT,BCSScrExcl,Unilateral Mastectomy,active
Z90.11,ICD10CM,BCSScrExcl,Absence of Right Breast,status
Z90.12,ICD10CM,BCSScrExcl,Absence of Left Breast,status
Z90.13,ICD10CM,BCSScrExcl,History of Bilateral Mastectomy,status
0HTT0ZZ,ICD10PCS,BCSScrExcl,Unilateral Mastectomy Right,active
0HTU0ZZ,ICD10PCS,BCSScrExcl,Unilateral Mastectomy Left,active
0HTV0ZZ,ICD10PCS,BCSScrExcl,Bilateral Mastectomy,active
116221009,SNOMED,BCSScrExcl,Clinical Unilateral Mastectomy,active
1208601007,SNOMED,BCSScrExcl,Clinical Unilateral Mastectomy,active
1268980002,SNOMED,BCSScrExcl,Bilateral Mastectomy,active
1269061009,SNOMED,BCSScrExcl,Bilateral Mastectomy,active
1279986002,SNOMED,BCSScrExcl,Bilateral Mastectomy,active
136071000119101,SNOMED,BCSScrExcl,History of Bilateral Mastectomy,status
137671000119105,SNOMED,BCSScrExcl,Absence of Left Breast,status
137681000119108,SNOMED,BCSScrExcl,Absence of Right Breast,status
14693006,SNOMED,BCSScrExcl,Bilateral Mastectomy,active
14714006,SNOMED,BCSScrExcl,Bilateral Mastectomy,active
150298000,SNOMED,BCSScrExcl,Clinical Unilateral Mastectomy,active
150301001,SNOMED,BCSScrExcl,Clinical Unilateral Mastectomy,active
150302008,SNOMED,BCSScrExcl,Clinical Unilateral Mastectomy,active
150303003,SNOMED,BCSScrExcl,Clinical Unilateral Mastectomy,active
150304009,SNOMED,BCSScrExcl,Clinical Unilateral Mastectomy,active
150305005,SNOMED,BCSScrExcl,Clinical Unilateral Mastectomy,active
150306006,SNOMED,BCSScrExcl,Clinical Unilateral Mastectomy,active
150307002,SNOMED,BCSScrExcl,Clinical Unilateral Mastectomy,active
155484007,SNOMED,BCSScrExcl,Clinical Unilateral Mastectomy,active
17086001,SNOMED,BCSScrExcl,Bilateral Mastectomy,active
172039007,SNOMED,BCSScrExcl,Clinical Unilateral Mastectomy,active
172040009,SNOMED,BCSScrExcl,Clinical Unilateral Mastectomy,active
172041008,SNOMED,BCSScrExcl,Clinical Unilateral Mastectomy,active
172042001,SNOMED,BCSScrExcl,Clinical Unilateral Mastectomy,active
172043006,SNOMED,BCSScrExcl,Clinical Unilateral Mastectomy,active
172046003,SNOMED,BCSScrExcl,Clinical Unilateral Mastectomy,active
172047007,SNOMED,BCSScrExcl,Clinical Unilateral Mastectomy,active
172050005,SNOMED,BCSScrExcl,Clinical Unilateral Mastectomy,active
22418005,SNOMED,BCSScrExcl,Bilateral Mastectomy,active
237367009,SNOMED,BCSScrExcl,Clinical Unilateral Mastectomy,active
237368004,SNOMED,BCSScrExcl,Clinical Unilateral Mastectomy,active
24268003,SNOMED,BCSScrExcl,Clinical Unilateral Mastectomy,active
265248000,SNOMED,BCSScrExcl,Clinical Unilateral Mastectomy,active
274957008,SNOMED,BCSScrExcl,Clinical Unilateral Mastectomy,active
27865001,SNOMED,BCSScrExcl,Bilateral Mastectomy,active
287652002,SNOMED,BCSScrExcl,Clinical Unilateral Mastectomy,active
287653007,SNOMED,BCSScrExcl,Clinical Unilateral Mastectomy,active
287654001,SNOMED,BCSScrExcl,Clinical Unilateral Mastectomy,active
302341009,SNOMED,BCSScrExcl,Clinical Unilateral Mastectomy,active
318190001,SNOMED,BCSScrExcl,Clinical Unilateral Mastectomy,active
359728003,SNOMED,BCSScrExcl,Clinical Unilateral Mastectomy,active
359731002,SNOMED,BCSScrExcl,Clinical Unilateral Mastectomy,active
359734005,SNOMED,BCSScrExcl,Clinical Unilateral Mastectomy,active
359738008,SNOMED,BCSScrExcl,Clinical Unilateral Mastectomy,active
359740003,SNOMED,BCSScrExcl,Clinical Unilateral Mastectomy,active
384723003,SNOMED,BCSScrExcl,Clinical Unilateral Mastectomy,active
395701007,SNOMED,BCSScrExcl,Clinical Unilateral Mastectomy,active
395702000,SNOMED,BCSScrExcl,Clinical Unilateral Mastectomy,active
406505007,SNOMED,BCSScrExcl,Clinical Unilateral Mastectomy,active
428529004,SNOMED,BCSScrExcl,History of Bilateral Mastectomy,status
428564008,SNOMED,BCSScrExcl,Clinical Unilateral Mastectomy,active
428571003,SNOMED,BCSScrExcl,Unilateral Mastectomy Left,active
429009003,SNOMED,BCSScrExcl,Absence of Left Breast,status
429242008,SNOMED,BCSScrExcl,Absence of Right Breast,status
429400009,SNOMED,BCSScrExcl,Unilateral Mastectomy Right,active
446109005,SNOMED,BCSScrExcl,Clinical Unilateral Mastectomy,active
446420001,SNOMED,BCSScrExcl,Clinical Unilateral Mastectomy,active
447135002,SNOMED,BCSScrExcl,Clinical Unilateral Mastectomy,active
447421006,SNOMED,BCSScrExcl,Clinical Unilateral Mastectomy,active
451201000124106,SNOMED,BCSScrExcl,Unilateral Mastectomy Right,active
451211000124109,SNOMED,BCSScrExcl,Unilateral Mastectomy Left,active
456903003,SNOMED,BCSScrExcl,Bilateral Mastectomy,active
52314009,SNOMED,BCSScrExcl,Bilateral Mastectomy,active
5835009,SNOMED,BCSScrExcl,Clinical Unilateral Mastectomy,active
5884001,SNOMED,BCSScrExcl,Clinical Unilateral Mastectomy,active
60633004,SNOMED,BCSScrExcl,Bilateral Mastectomy,active
64837009,SNOMED,BCSScrExcl,Clinical Unilateral Mastectomy,active
66398006,SNOMED,BCSScrExcl,Clinical Unilateral Mastectomy,active
70183006,SNOMED,BCSScrExcl,Clinical Unilateral Mastectomy,active
726429001,SNOMED,BCSScrExcl,Unilateral Mastectomy Left,active
726430006,SNOMED,BCSScrExcl,Unilateral Mastectomy Right,active
726434002,SNOMED,BCSScrExcl,Unilateral Mastectomy Right,active
726435001,SNOMED,BCSScrExcl,Unilateral Mastectomy Left,active
726436000,SNOMED,BCSScrExcl,Unilateral Mastectomy Right,active
726437009,SNOMED,BCSScrExcl,Unilateral Mastectomy Left,active
726636007,SNOMED,BCSScrExcl,Bilateral Mastectomy,active
741009001,SNOMED,BCSScrExcl,Unilateral Mastectomy Left,active
741010006,SNOMED,BCSScrExcl,Unilateral Mastectomy Right,active
741018004,SNOMED,BCSScrExcl,Unilateral Mastectomy Left,active
741019007,SNOMED,BCSScrExcl,Unilateral Mastectomy Right,active
76468001,SNOMED,BCSScrExcl,Bilateral Mastectomy,active
836435007,SNOMED,BCSScrExcl,Unilateral Mastectomy Right,active
836436008,SNOMED,BCSScrExcl,Bilateral Mastectomy,active
836437004,SNOMED,BCSScrExcl,Unilateral Mastectomy Left,active
870629001,SNOMED,BCSScrExcl,Bilateral Mastectomy,active
57530,CPT,CCSScrExcl,Hysterectomy With No Residual Cervix,active
57531,CPT,CCSScrExcl,Hysterectomy With No Residual Cervix,active
57540,CPT,CCSScrExcl,Hysterectomy With No Residual Cervix,active
57545,CPT,CCSScrExcl,Hysterectomy With No Residual Cervix,active
57550,CPT,CCSScrExcl,Hysterectomy With No Residual Cervix,active
57555,CPT,CCSScrExcl,Hysterectomy With No Residual Cervix,active
57556,CPT,CCSScrExcl,Hysterectomy With No Residual Cervix,active
58150,CPT,CCSScrExcl,Hysterectomy With No Residual Cervix,active
58152,CPT,CCSScrExcl,Hysterectomy With No Residual Cervix,active
58200,CPT,CCSScrExcl,Hysterectomy With No Residual Cervix,active
58210,CPT,CCSScrExcl,Hysterectomy With No Residual Cervix,active
58240,CPT,CCSScrExcl,Hysterectomy With No Residual Cervix,active
58260,CPT,CCSScrExcl,Hysterectomy With No Residual Cervix,active
58262,CPT,CCSScrExcl,Hysterectomy With No Residual Cervix,active
58263,CPT,CCSScrExcl,Hysterectomy With No Residual Cervix,active
58267,CPT,CCSScrExcl,Hysterectomy With No Residual Cervix,active
58270,CPT,CCSScrExcl,Hysterectomy With No Residual Cervix,active
58275,CPT,CCSScrExcl,Hysterectomy With No Residual Cervix,active
