icd10_code,description
A0103,Typhoid pneumonia
A021,Salmonella sepsis
A0222,Salmonella pneumonia
A065,Amebic lung abscess
A072,Cryptosporidiosis
A202,Pneumonic plague
A212,Pulmonary tularemia
A221,Pulmonary anthrax
A310,Pulmonary mycobacterial infection
A312,Disseminated mycobacterium avium-intracellulare complex (DMAC)
A392,Acute meningococcemia
A400,"Sepsis due to streptococcus, group A"
A401,"Sepsis due to streptococcus, group B"
A403,Sepsis due to Streptococcus pneumoniae
A408,Other streptococcal sepsis
A409,"Streptococcal sepsis, unspecified"
A4101,Sepsis due to Methicillin susceptible Staphylococcus aureus
A4102,Sepsis due to Methicillin resistant Staphylococcus aureus
A413,Sepsis due to Hemophilus influenzae
A414,Sepsis due to anaerobes
A4150,"Gram-negative sepsis, unspecified"
A4151,Sepsis due to Escherichia coli [E. coli]
A4152,Sepsis due to Pseudomonas
A4159,Other Gram-negative sepsis
A4181,Sepsis due to Enterococcus
A4189,Other specified sepsis
A419,"Sepsis, unspecified organism"
A420,Pulmonary actinomycosis
A430,Pulmonary nocardiosis
A480,Gas gangrene
A481,Legionnaires' disease
A5484,Gonococcal pneumonia
B377,Candidal sepsis
B380,Acute pulmonary coccidioidomycosis
B381,Chronic pulmonary coccidioidomycosis
B382,"Pulmonary coccidioidomycosis, unspecified"
B390,Acute pulmonary histoplasmosis capsulati
B391,Chronic pulmonary histoplasmosis capsulati
B392,"Pulmonary histoplasmosis capsulati, unspecified"
B400,Acute pulmonary blastomycosis
B401,Chronic pulmonary blastomycosis
B402,"Pulmonary blastomycosis, unspecified"
B410,Pulmonary paracoccidioidomycosis
B664,Paragonimiasis
B671,Echinococcus granulosus infection of lung
D5701,Hb-SS disease with acute chest syndrome
D57211,Sickle-cell/Hb-C disease with acute chest syndrome
D57411,"Sickle-cell thalassemia, unspecified, with acute chest syndrome"
D57431,Sickle-cell thalassemia beta zero with acute chest syndrome
D57451,Sickle-cell thalassemia beta plus with acute chest syndrome
D57811,Other sickle-cell disorders with acute chest syndrome
E035,Myxedema coma
E0800,Diabetes mellitus due to underlying condition with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC)
E0801,Diabetes mellitus due to underlying condition with hyperosmolarity with coma
E0810,Diabetes mellitus due to underlying condition with ketoacidosis without coma
E0811,Diabetes mellitus due to underlying condition with ketoacidosis with coma
